	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
MRPL37	9.72696	14.0706	9.63032	11.8771	10.5844	8.16726	8.61673	9.44573	8.75011	9.13077
FMP21	6.19977	27.9191	10.3961	22.0485	5.97461	6.08299	4.89541	5.05913	5.05029	6.37408
BIT2	12.2812	9.52421	12.488	8.63809	10.9107	11.6947	5.65823	9.89034	11.9283	6.98616
UBX7	8.94688	5.60799	9.89167	7.97633	10.3296	11.4905	9.23551	10.9748	15.4472	10.0995
PPS1	11.377	5.98373	7.36634	6.41208	8.87401	13.0203	11.4622	11.5427	12.8398	11.1218
PAF1	11.4119	3.46828	9.01437	6.10717	15.8496	9.08372	10.5037	13.7493	9.68114	11.1308
MRPL27	9.05164	13.447	9.9431	11.1997	8.14863	8.17109	9.84106	10.0798	7.93055	12.1874
SSH1	11.9741	6.09048	10.5968	7.70555	8.9145	11.8375	11.1318	11.2307	11.3022	9.2162
APE3	8.30559	12.2794	14.0057	11.0433	9.21438	7.99841	9.28224	9.24781	10.1306	8.49264
APM3	10.713	6.44493	6.71297	9.77568	6.94354	18.9657	6.63297	9.66707	16.914	7.23012
CTP1	8.19695	9.11459	11.6823	10.4112	8.12963	8.67224	11.2338	10.0456	8.80616	13.7075
MAL33	8.94199	7.48093	8.37367	10.8502	7.64028	12.8544	7.25978	14.8549	11.8129	9.93101
RER1	10.4277	7.81967	9.0018	10.7157	8.3511	13.5089	10.712	10.8642	10.9069	7.6919
PGS1	10.646	11.3061	11.2316	10.8129	8.32298	8.34824	10.351	8.87047	8.6209	11.49
STP22	10.0143	7.38209	8.21106	8.63555	8.91002	14.5681	9.6124	10.7137	13.5976	8.35509
ILV6	9.63632	16.0814	11.1479	13.5007	7.03927	9.15936	8.8147	7.71626	8.64065	8.26336
GBP2	11.74	6.56499	8.91517	8.99686	8.66141	15.4336	9.48049	11.2931	12.6096	6.30475
BUD3	8.99587	11.7458	13.329	9.34409	11.0013	11.6012	4.93063	9.4245	14.6455	4.98222
DCC1	9.78447	6.28995	9.41949	7.00127	9.87287	10.373	11.396	12.1857	11.5148	12.1624
NFS1	9.37965	14.6108	11.3875	13.5279	8.85513	8.82543	8.45693	8.30208	8.22362	8.43093
YCL019W	8.59601	4.94595	9.70835	7.99743	10.9061	9.75304	8.45886	13.8646	15.2294	10.5402
AGP1	13.2922	6.74339	10.3102	6.52575	12.2354	9.58705	10.7948	10.879	9.10231	10.53
HBN1	9.70183	23.2923	8.72853	12.5985	7.36109	7.55899	8.18466	7.52523	6.5789	8.46997
RNQ1	10.2879	7.13111	9.4885	7.94187	15.7973	8.56528	5.6127	14.542	11.8368	8.79655
HIS4	13.0758	3.00574	6.96763	3.39502	13.9193	7.34032	12.7315	13.0318	11.2747	15.2583
RRP7	9.80788	6.24908	9.29692	6.49981	11.5151	11.6832	9.0886	11.7948	15.075	8.98964
MXR2	8.99755	16.7552	10.3233	15.2626	7.78662	8.8152	7.57708	7.81124	8.18205	8.48918
GRX1	9.23781	5.60894	7.20105	7.56652	16.7997	14.0534	9.02244	11.3242	9.85277	9.33325
SRO9	12.5889	7.27036	10.7905	5.09093	12.6758	9.01298	11.0948	11.9561	11.4784	8.04127
ATG22	13.0024	3.17634	9.75864	4.42209	11.2349	10.0973	12.2795	10.7809	11.6475	13.6004
GLK1	12.8093	2.9794	9.63545	4.67004	10.8481	8.87978	14.9495	11.3819	11.8231	12.0234
PDI1	7.23188	11.8261	11.7829	12.9168	8.77781	10.8073	7.61619	8.98373	12.5966	7.46067
MGR1	9.59953	11.4828	11.7383	11.5015	9.26563	8.43762	10.1106	9.26375	8.9083	9.69198
EMC1	11.2369	6.78626	9.99662	6.78169	11.0988	10.4167	11.5708	10.103	11.6559	10.3534
POF1	8.92135	14.7906	9.13178	13.6855	7.23285	12.5119	7.77975	8.16901	11.403	6.37426
YCL049C	11.1239	7.61894	9.88147	7.58067	11.7756	11.4017	8.95332	11.4469	11.2933	8.92423
APA1	11.9679	3.64294	8.04055	5.09093	10.8211	10.1955	12.4876	12.5312	11.1024	14.1198
LRE1	13.1679	7.31451	10.1824	4.78013	13.9056	8.59029	11.2639	10.3801	8.10783	12.3074
PBN1	9.83642	7.55475	8.88466	7.77093	9.87958	12.2384	9.40677	11.5387	10.7574	12.1324
SPB1	10.8145	7.20884	10.5016	5.39568	14.6711	9.37992	9.64471	11.7209	11.9661	8.69672
YCL057C-A	8.17875	12.4161	9.29392	10.7548	8.46413	8.29123	9.92419	10.8061	7.26407	14.6066
